FNODE_ID,F_CROSS,MAX_ADDR,MIN_ADDR,OBJECTID,PRE_DIR,STREET_NAM,STREET_TYP,TNODE_ID,TRANS_ID,T_CROSS,category,cost,description,program,ward,year
34416,4200 S VINCENNES AVE ,549,500,10999,E,42ND,ST,19583,124942,4200 S ST LAWRENCE AVE ,Streets & Transportation,49392.0,ON E 42ND ST FROM S VINCENNES AV (515 E) TO S ST LAWRENCE AV (600 E),Street Resurfacing Menu,4,2012
27594,3700 S ELLIS AVE ,769,738,13923,E,37TH,ST,18954,119474,3700 S LAKE PARK AVE ,Streets & Transportation,52350.0,ON E 37TH ST FROM S ELLIS AV (792 E) TO S LAKE PARK AV (815 E),Street Resurfacing Menu,4,2012
32934,725 E 50TH PL ,5071,5032,34520,S,EVANS,AVE,9405,125663,725 E 51ST ST ,Streets & Transportation,39743.0,ON S EVANS AVE FROM E 50 PL (5032 S) TO E 51 ST (5100 S),Street Resurfacing Menu,4,2012
10481,1345 E 48TH ST ,4859,4800,19204,S,KENWOOD,AVE,1249,125564,1344 E 49TH ST ,Streets & Transportation,38034.0,ON S KENWOOD AVE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),Street Resurfacing Menu,4,2012
32269,5000 S ELLIS AVE ,1059,1000,3908,E,50TH,ST,25969,125606,5000 S GREENWOOD AVE ,Streets & Transportation,58378.0,ON E 50TH ST FROM S ELLIS AV (1001 E) TO S GREENWOOD AV (1100 E),Street Resurfacing Menu,4,2012
6027,1000 E 43RD ST ,4361,4300,29779,S,ELLIS,AVE,26061,125165,1000 E 44TH ST ,Lighting,1200.0,ON S ELLIS AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S),Street Light Upgrade,4,2012
7113,8300 S CALUMET AVE ,380,342,5635,E,83RD,ST,17771,130298,8300 S DR MARTIN LUTHER KING JR DR ,Miscellaneous,1166.0,E 83RD ST & S DR MARTIN LUTHER KING JR DR crosswalk markings,Miscellaneous Other,6,2012
17771,8300 S DR MARTIN LUTHER KING JR DR ,428,400,46066,E,83RD,ST,30234,130256,8299 S VERNON AVE ,Miscellaneous,1166.0,E 83RD ST & S DR MARTIN LUTHER KING JR DR crosswalk markings,Miscellaneous Other,6,2012
7510,8500 S STATE ST ,36,1,22941,E,85TH,ST,7569,130888,8500 S WABASH AVE ,Streets & Transportation,38833.0,ON E 85TH ST FROM S STATE ST (0 E) TO S WABASH AV (44 E),Street Resurfacing Menu,6,2012
16329,2200 E 89TH ST ,8959,8900,35233,S,PAXTON,AVE,33769,137809,2200 E 90TH ST ,Streets & Transportation,150638.0,ON S PAXTON AVE FROM E 90 ST (9000 S) TO E 89 ST (8900 S),Curb & Gutter Menu,7,2012
